id,site_code,state_cde_code,name,area_network_id,network,net_cluster,campus_name,site_type,site_type_norm,address,city,zip_code,grades_served,low_grade,high_grade,region,lat,lng,direct_funded_charter_school
1,101,6001630,Allendale Elementary,2,A2,A2.2,NULL,Elementary,Elementary,3670 Penniman Ave,Oakland,94619,TK-5,0,5,2,-122.205,37.7887,0
2,102,6001655,Bella Vista Elementary,1,A1,A1.2,NULL,Elementary,Elementary,1025 E 28th St,Oakland,94610,TK-5,0,5,2,-122.237,37.8005,0
3,103,6001663,Brookfield Village Elementary,3,A3,A3.1,NULL,Elementary,Elementary,401 Jones Ave,Oakland,94603,K-5,0,5,3,-122.189,37.7348,0
4,105,6001689,Burckhalter Elementary,3,A3,A3.1,NULL,Elementary,Elementary,3994 Burckhalter Ave,Oakland,94605,K-5,0,5,3,-122.167,37.7755,0
5,106,6001648,Chabot Elementary,1,A1,A1.1,NULL,Elementary,Elementary,6686 Chabot Rd,Oakland,94618,K-5,0,5,1,-122.242,37.8506,0
6,107,115600,East Oakland PRIDE Elementary,3,A3,A3.1,Webster,Elementary,Elementary,8000 Birch St,Oakland,94621,K-5,0,5,3,-122.174,37.7591,0
7,108,6001739,Cleveland Elementary,1,A1,A1.2,NULL,Elementary,Elementary,745 Cleveland St,Oakland,94606,K-5,0,5,1,-122.244,37.8043,0
8,111,6001754,Crocker Highlands Elementary,1,A1,A1.2,NULL,Elementary,Elementary,525 Midcrest Rd,Oakland,94610,K-5,0,5,1,-122.227,37.811,0
9,112,115618,Greenleaf Elementary,3,A3,A3.2,Whittier,K-8,K-8,6328 E 17th St,Oakland,94621,TK-7,0,7,3,-122.195,37.7644,0
10,114,115584,Global Family School,2,A2,A2.1,Jefferson,Elementary,Elementary,2035 40th Ave,Oakland,94601,TK-5,0,5,2,-122.213,37.7794,0
11,115,6001812,Emerson Elementary,1,A1,A1.2,NULL,Elementary,Elementary,4803 Lawton Ave,Oakland,94609,TK-5,0,5,1,-122.257,37.8346,0
12,116,6001820,Franklin Elementary,1,A1,A1.2,NULL,Elementary,Elementary,915 Foothill Blvd,Oakland,94606,K-5,0,5,2,-122.249,37.7938,0
13,117,6001838,Fruitvale Elementary,2,A2,A2.2,NULL,Elementary,Elementary,3200 Boston Ave,Oakland,94602,K-5,0,5,2,-122.214,37.7963,0
14,118,6001846,Garfield Elementary,2,A2,A2.1,NULL,Elementary,Elementary,1640 22nd Ave,Oakland,94606,TK-5,0,5,2,-122.236,37.7868,0
15,119,6001853,Glenview Elementary,2,A2,A2.2,NULL,Elementary,Elementary,4215 La Cresta Ave,Oakland,94602,K-5,0,5,2,-122.219,37.8053,0
16,121,6096523,La Escuelita Elementary,3,A3,A3.2,NULL,Elementary,Elementary,1050 2nd Ave,Oakland,94606,TK-5,0,5,2,-122.259,37.7962,0
