data_date,county_code,district_code,school_code,direct_funded_charter_school_number,provision_two_three_school,data_source,county_name,lea_name,school_name,low_grade,high_grade,enrollment_k_12,free_meal_count_k_12,percent_eligible_free_k_12,frpm_total_undup_count_k_12,frpm_percent_eligible_k_12,enrollment_5_17,free_meal_count_5_17,percent_eligible_5_17,frpm_total_undup_count_5_17,frpm_percent_eligible_5_17
2012-10-01,01,61259,0000001,    ,N,CALPADS,Alameda        ,Oakland Unified,"Nonpublic, Nonsectarian Schools",,,165,11,6.67,11,6.67,151,11,7.28,11,7.28
2012-10-01,01,61259,0100065,0510,N,CALPADS,Alameda        ,Oakland Unified,Oakland Unity High,09,12,269,196,72.86,197,73.23,258,188,72.87,189,73.26
2012-10-01,01,61259,0100123,0499,N,CALPADS,Alameda        ,Oakland Unified,East Oakland Leadership Academy,KK,08,128,28,21.88,28,21.88,125,28,22.4,28,22.4
2012-10-01,01,61259,0100701,    ,N,CALPADS,Alameda        ,Oakland Unified,MetWest High,09,12,138,103,74.64,115,83.33,133,99,74.44,111,83.46
2012-10-01,01,61259,0100792,    ,Y,NSD,Alameda        ,Oakland Unified,Think College Now,KK,05,290,NULL,90.64,NULL,98.75,289,NULL,90.64,NULL,98.75
2012-10-01,01,61259,0101469,0559,Y,NSD,Alameda        ,Oakland Unified,LPS College Park,09,12,131,NULL,81.11,NULL,90,119,NULL,81.11,NULL,90
2012-10-01,01,61259,0102988,    ,N,CALPADS,Alameda        ,Oakland Unified,EnCompass Academy Elementary,KK,05,312,312,100,312,100,309,309,100,309,100
2012-10-01,01,61259,0106542,    ,Y,NSD,Alameda        ,Oakland Unified,Community Day,09,12,29,NULL,84.44,NULL,100,27,NULL,84.44,NULL,100
2012-10-01,01,61259,0106559,    ,N,CALPADS,Alameda        ,Oakland Unified,Oakland Community Day Middle,06,08,14,14,100,14,100,14,14,100,14,100
2012-10-01,01,61259,0106906,0661,Y,NSD,Alameda        ,Oakland Unified,Bay Area Technology,06,12,188,NULL,64.86,NULL,73.42,178,NULL,64.86,NULL,73.42
2012-10-01,01,61259,0108803,0689,N,CALPADS,Alameda        ,Oakland Unified,Aspire Millsmont Academy,KK,12,266,205,77.07,232,87.22,260,201,77.31,227,87.31
2012-10-01,01,61259,0108944,0700,N,CALPADS,Alameda        ,Oakland Unified,Lighthouse Community Charter High,09,12,223,168,75.34,172,77.13,203,155,76.35,159,78.33
2012-10-01,01,61259,0109819,0726,N,CALPADS,Alameda        ,Oakland Unified,Aspire Berkley Maynard Academy,KK,08,557,363,65.17,433,77.74,545,355,65.14,422,77.43
2012-10-01,01,61259,0109983,0745,Y,NSD,Alameda        ,Oakland Unified,World Academy,KK,05,439,NULL,98.05,NULL,100,429,NULL,98.05,NULL,100
2012-10-01,01,61259,0110189,    ,N,CALPADS,Alameda        ,Oakland Unified,McClymonds High,09,12,268,268,100,268,100,261,261,100,261,100
2012-10-01,01,61259,0110239,    ,Y,NSD,Alameda        ,Oakland Unified,Reach Academy,KK,05,339,NULL,81.98,NULL,86.34,330,NULL,81.98,NULL,86.34
2012-10-01,01,61259,0110247,    ,N,CALPADS,Alameda        ,Oakland Unified,Manzanita SEED,KK,05,342,342,100,342,100,336,336,100,336,100
2012-10-01,01,61259,0110254,    ,Y,NSD,Alameda        ,Oakland Unified,Sankofa Academy,PP,08,312,NULL,60.65,NULL,64.79,299,NULL,60.65,NULL,64.79
2012-10-01,01,61259,0110262,    ,N,CALPADS,Alameda        ,Oakland Unified,Rise Community,KK,05,325,325,100,325,100,317,317,100,317,100
2012-10-01,01,61259,0111476,0780,Y,CARS,Alameda        ,Oakland Unified,Achieve Academy,04,05,226,NULL,91.02,NULL,95.51,226,NULL,91.02,NULL,95.51
2012-10-01,01,61259,0111856,    ,N,CALPADS,Alameda        ,Oakland Unified,American Indian Public High,09,12,243,134,55.14,183,75.31,240,132,55,180,75
2012-10-01,01,61259,0112763,    ,N,CALPADS,Alameda        ,Oakland Unified,United for Success Academy,06,08,414,414,100,414,100,414,414,100,414,100
2012-10-01,01,61259,0112771,    ,N,CALPADS,Alameda        ,Oakland Unified,Alliance Academy,06,08,353,353,100,353,100,353,353,100,353,100
2012-10-01,01,61259,0112789,    ,Y,NSD,Alameda        ,Oakland Unified,Elmhurst Community Prep,06,08,368,NULL,85.34,NULL,90.18,368,NULL,85.34,NULL,90.18
2012-10-01,01,61259,0112797,    ,N,CALPADS,Alameda        ,Oakland Unified,Coliseum College Prep Academy,06,12,451,451,100,451,100,436,436,100,436,100
2012-10-01,01,61259,0112805,    ,N,CALPADS,Alameda        ,Oakland Unified,ROOTS International Academy,06,08,350,350,100,350,100,350,350,100,350,100
2012-10-01,01,61259,0112813,    ,N,CALPADS,Alameda        ,Oakland Unified,Fred T. Korematsu Discovery Academy,KK,05,400,400,100,400,100,387,387,100,387,100
2012-10-01,01,61259,0114363,0882,N,CALPADS,Alameda        ,Oakland Unified,American Indian Public Charter School II,KK,08,639,364,56.96,504,78.87,637,362,56.83,502,78.81
2012-10-01,01,61259,0114454,0864,N,CALPADS,Alameda        ,Oakland Unified,Conservatory of Vocal/Instrumental Arts,KK,08,232,73,31.47,86,37.07,231,72,31.17,85,36.8
2012-10-01,01,61259,0114868,0883,N,CALPADS,Alameda        ,Oakland Unified,Oakland Charter High,09,12,181,128,70.72,154,85.08,172,120,69.77,146,84.88
2012-10-01,01,61259,0115014,0938,N,CALPADS,Alameda        ,Oakland Unified,KIPP Bridge Charter,05,08,327,194,59.33,224,68.5,327,194,59.33,224,68.5
2012-10-01,01,61259,0115204,    ,N,CALPADS,Alameda        ,Oakland Unified,Community United Elementary,KK,05,396,396,100,396,100,366,366,100,366,100
