service_type,quality_element
Supplemental Educational Services,Expanded Learning
Supplemental Educational Services,Academic & Social Emotional Learning
After school and youth development,Expanded Learning
After school and youth development,Academic & Social Emotional Learning
After school and youth development,Youth leadership
After school and youth development,Health & Wellness
After school and youth development,Family Engagement & Support
After school and youth development,School Culture & Climate
After school and youth development,School Readiness & Transitions
After school and youth development,Equity
After school and youth development,Resource Development
After school and youth development,Continuous Improvement
Youth leadership,Youth leadership
Youth leadership,School Culture & Climate
Youth leadership,Expanded Learning
Youth leadership,Academic & Social Emotional Learning
Youth leadership,Equity
Youth leadership,Resource Development
Youth leadership,Continuous Improvement
Activism/social justice,Youth leadership
Activism/social justice,Expanded Learning
Activism/social justice,Family Engagement & Support
Activism/social justice,School Culture & Climate
Activism/social justice,Equity
Activism/social justice,Academic & Social Emotional Learning
Health education and enrichment,Health & Wellness
Health education and enrichment,Academic & Social Emotional Learning
Health education and enrichment,Expanded Learning
Sex education,Health & Wellness
Sex education,Academic & Social Emotional Learning
Sex education,Expanded Learning
Direct medical services,Health & Wellness
Direct medical services,Family Engagement & Support
Direct medical services,Resource Development
Mental health interventions and services,Health & Wellness
Mental health interventions and services,Family Engagement & Support
Mental health interventions and services,School Culture & Climate
Mental health interventions and services,Resource Development
Nutrition education and enrichment activities,Health & Wellness
Nutrition education and enrichment activities,Expanded Learning
Nutrition education and enrichment activities,Academic & Social Emotional Learning
Nutrition education and enrichment activities,Family Engagement & Support
"Physical Education and exercise activities, sports and athletics",Health & Wellness
"Physical Education and exercise activities, sports and athletics",Family Engagement & Support
"Physical Education and exercise activities, sports and athletics",Youth leadership
"Physical Education and exercise activities, sports and athletics",Academic & Social Emotional Learning
"Physical Education and exercise activities, sports and athletics",Expanded Learning
"Physical Education and exercise activities, sports and athletics",Resource Development
"Physical Education and exercise activities, dance and performance",Health & Wellness
"Physical Education and exercise activities, dance and performance",Family Engagement & Support
"Physical Education and exercise activities, dance and performance",Youth leadership
"Physical Education and exercise activities, dance and performance",Academic & Social Emotional Learning
"Physical Education and exercise activities, dance and performance ",Expanded Learning
"Physical Education and exercise activities, dance and performance",Resource Development
Parent and family engagement and education activities,Family Engagement & Support
Parent and family engagement and education activities,Expanded Learning
Parent and family engagement and education activities,Health & Wellness
Parent and family engagement and education activities,School Readiness & Transitions
Parent and family engagement and education activities,Resource Development
Classes for parents and family members,Family Engagement & Support
Classes for parents and family members,Health & Wellness
Classes for parents and family members,Academic & Social Emotional Learning
"Workforce exposure, engagement, and preparation",School Readiness & Transitions
"Workforce exposure, engagement, and preparation",Academic & Social Emotional Learning
"Workforce exposure, engagement, and preparation",Health & Wellness
"Workforce exposure, engagement, and preparation",Youth leadership
"Workforce exposure, engagement, and preparation",Expanded Learning
"Workforce exposure, engagement, and preparation",Resource Development
"College exposure, engagement, and preparation",School Readiness & Transitions
"College exposure, engagement, and preparation",Academic & Social Emotional Learning
"College exposure, engagement, and preparation",Youth leadership
"College exposure, engagement, and preparation",Resource Development
"College exposure, engagement, and preparation",Expanded Learning
Visual arts education and enrichment activities,Expanded Learning
Visual arts education and enrichment activities,Academic & Social Emotional Learning
Visual arts education and enrichment activities,Youth leadership
Visual arts education and enrichment activities,School Readiness & Transitions
Performing arts education and enrichment activities,Expanded Learning
Performing arts education and enrichment activities,Academic & Social Emotional Learning
Performing arts education and enrichment activities,School Readiness & Transitions
Performing arts education and enrichment activities,Youth leadership
Literacy education and activities,Academic & Social Emotional Learning
Literacy education and activities,Family Engagement & Support
Literacy education and activities,Expanded Learning
Literacy education and activities,School Readiness & Transitions
Literacy education and activities,Equity
Literacy education and activities,Resource Development
Math education and activities,Academic & Social Emotional Learning
Math education and activities,Expanded Learning
Math education and activities,Family Engagement & Support
Math education and activities,School Readiness & Transitions
Math education and activities,Equity
Math education and activities,Resource Development
Science education and activities,Academic & Social Emotional Learning
Science education and activities,Expanded Learning
Science education and activities,School Readiness & Transitions
Science education and activities,Equity
Science education and activities,Family Engagement & Support
Science education and activities,Resource Development
Technology education and activities,Academic & Social Emotional Learning
Technology education and activities,Expanded Learning
Technology education and activities,School Readiness & Transitions
Technology education and activities,Family Engagement & Support
Technology education and activities,Equity
Technology education and activities,Resource Development
Engineering education and activities,Academic & Social Emotional Learning
Engineering education and activities,Expanded Learning
Engineering education and activities,School Readiness & Transitions
Engineering education and activities,Family Engagement & Support
Engineering education and activities,Resource Development
Positive Behavioral Interventions and Supports (PBIS),School Culture & Climate
Positive Behavioral Interventions and Supports (PBIS),Academic & Social Emotional Learning
Positive Behavioral Interventions and Supports (PBIS),Expanded Learning
Restorative Justice,School Culture & Climate
Restorative Justice,Expanded Learning
Restorative Justice,Academic & Social Emotional Learning
Restorative Justice,Youth leadership
Restorative Justice,Equity
Restorative Justice,School Readiness & Transitions
Social emotional education and activities,Academic & Social Emotional Learning
Social emotional education and activities,Expanded Learning
Social emotional education and activities,School Culture & Climate
Social emotional education and activities,Family Engagement & Support
Social emotional education and activities,Continuous Improvement
Social emotional education and activities,Resource Development
Special education activities and services,Academic & Social Emotional Learning
Special education activities and services,School Culture & Climate
Special education activities and services,Equity
Special education activities and services,Family Engagement & Support
Special education activities and services,Continuous Improvement
Conflict resolution education and activities,Academic & Social Emotional Learning
Conflict resolution education and activities,School Culture & Climate
Conflict resolution education and activities,Equity
Conflict resolution education and activities,Youth leadership
Conflict resolution education and activities,Expanded Learning
"Volunteer recruitment, training, and/or management",Academic & Social Emotional Learning
"Volunteer recruitment, training, and/or management",Expanded Learning
"Volunteer recruitment, training, and/or management",School Culture & Climate
"Volunteer recruitment, training, and/or management",Family Engagement & Support
