region,school,school_quality_indicator_sub_area,additional_school_quality_indicator_sub_area,organization,service_provided,service_type,date_collected,point_of_contact ,,,,
Charter,Achieve,School Culture,Health & Wellness,TransForm,Safe Routes To Schools,Violence Prevention/Physical Activity,11/01/2011,,,,,
Charter,Achieve/World Academy,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/01/2011,,,,,
3,Acorn Woodland Elementary,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
3,Acorn Woodland Elementary,Extended Learning Time,,Aspiranet,After School Lead Program OUSD,After School Program,11/01/2011,,,,,
3,Acorn Woodland Elementary,Extended Learning Time,,Oakland Schools Foundation ,Extended Learning Collaborative Program,After School Intervention,11/01/2011,,,,,
3,Acorn Woodland Elementary,Family & Community Engagement,,District Advisory Council (DAC),Family Engagement,District Advisory Council (DAC),11/01/2011,,,,,
3,Acorn Woodland Elementary,Family & Community Engagement,,District English Learner Advisory Council (DELAC),Family Engagement,District English Learner Advisory Council (DELAC),11/11/2011,,,,,
3,Acorn Woodland Elementary,Family & Community Engagement,,Oakland Schools Foundation ,"Family Engagement and Leadership Initiative (FamELI) -  Family Resource Center, Zumba class for parents, other classes…",Family Resource Center,11/11/2011,,,,,
3,Acorn Woodland Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,,,,,
3,Acorn Woodland Elementary,Health & Wellness,,East Bay Agency for Children,Mental Health Services,Mental Health Services,11/11/2011,,,,,
3,Acorn Woodland Elementary,Health & Wellness,,East Bay Agency for Children/PALS,After School Mental Health Counseling,After School Mental Health Services,11/11/2011,,,,,
3,Acorn Woodland Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
3,Acorn Woodland Elementary,Health & Wellness,,Playworks Sports for Kids,Physical and Recreational Activity,Physical & Recreational Activity,11/11/2011,,,,,
3,Acorn Woodland Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
3,Acorn Woodland Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
3,Acorn Woodland Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early childhood education 8:00am-4:30pm,Early Childhood Education,11/01/2011,,,,,
2,Allendale Elementary,Extended Learning Time,,Higher Ground Neighborhood Development Corporation,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
2,Allendale Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/01/2011,,,,,
2,Allendale Elementary,Health & Wellness,,Ann Martin Children's Center,Mental Health Services,Mental Health Services,11/01/2011,,,,,
2,Allendale Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
